"Dear David,I am committed to helping small businesses grow and create jobs in the Seventh Congressional District.",neutral,None
"That's why last week I introduced the Emerging Business Encouragement (EBE) Act, which will help emerging businesses compete for federal contracts and obtain access to federally backed loans as they get off the ground.",neutral,None
Emerging businesses face obstacles that are distinctly different from more well established small businesses.,neutral,None
"Under the EBE Act, the Small Business Administration (SBA) would create a new designation for an Emerging Business Enterprises (EBE) based on the company's age, size and total compensation.",neutral,None
"I believe we must support all job creators as our economy continues to recover, but there are significant differences between a startup with only a few employees and an established business with a few hundred employees and decades of experience.",positive,0.721535
"This legislation will help these emerging businesses overcome the unique challenges they face in their first few years of operation, and it will ensure these businesses are able to compete for federal contracts and gain access to critical small business loans.",neutral,None
"Helping these businesses get off to a strong start means more of them will succeed, grow and create jobs for hardworking Hoosiers.",positive,0.894355
This is the type of boost we need as our economy continues to recover.,positive,0.817967
Click here to learn more about the EBE Act.,negative,-0.206001
"Sincerely,Andr&eacute;Inside ScoopReplacing a Stolen Purple HeartLast fall, burglars broke into Linda Duncan's home on the far-Eastside and stole the Purple Heart her late husband received for his service in World War II.",negative,-0.443417
A member of my staff saw the story on television and reached out to the family to see what we could do.,positive,0.54738
"Working together over the past few months, we were able to secure a replacement medal, which was delivered to Ms.",neutral,None
Duncan last week.,negative,-0.214529
Click here to watch the story that ran over the weekend on FOX59.,negative,-0.373896
It was my privilege to help secure a replacement for the stolen Purple Heart.,positive,0.652279
"I come from a military family, and there is nothing more important to me than making sure our men and women in uniform are honored and respected for their service to our nation.",positive,0.785276
This is the type of dedication my office brings to Hoosiers in the Seventh Congressional District.,neutral,None
"If you are having trouble working with the federal government, I want you to know that my office is here to help.",negative,-0.382819
Listening to Your FeedbackThank you to everyone who participated in our 2014 Constituent Survey.,positive,0.609691
"We received nearly 2,000 responses from constituents who wanted to make sure I understand what issues are most important in the district right now.",positive,0.373896
We are working on compiling those responses to learn more about the hot topics in Indianapolis right now.,neutral,None
"If you haven't had a chance to take the survey yet, you still have an opportunity to do so until the end of this week.",neutral,None
Click here to participate.,negative,-0.213507
Voting:Our Privilege and ResponsibilityOne of the greatest privileges of being an American citizen is the opportunity to voice your opinion through the electoral process.,positive,0.738661
"The 2014 primary election took place last week, and voter registration for the November election begins soon.",neutral,None
"Below are important dates for Indiana voters:October 6, 2014 &ndash; Voter Registration EndsNovember 4, 2014 &ndash; General Election DayNow you can follow my updates on:UnsubscribePrivacy PolicyWashington Office2453 Rayburn HOBWashington, D.C.",neutral,None
20515-1407Phone: 202-225-4011Fax: 202-225-5633District Office300 E Fall Creek Pkwy N Dr.,neutral,None
"Suite 300Indianapolis, IN 46205-4258Phone: 317-283-6516Fax: 317-283-6567Are You Uninsured?",negative,-0.498458
#GetCovered!,neutral,None
